GCP_Replicated_Project,ProductArea,GCP_Replicated_Dataset,GCP_Replicated_Table,TD_Database_Name,TD_Object_Name,Target_Project,Target_Dataset,Target_View_Name,BQ_View,Collate_View_Created,UG_Classification,K45_Created,Need_Historical_Data,Script_Count,Flipped_Date,Comments,In_Master_Sheet,Unnamed_18,Temp,Bizdo_Tablename,Replication_Dag_Name,Replication_Dag_Schedule,Modernized_Project,Modernized_Table,Modernized_Dag_Name,Modernized_Dag_Schedule
vzw-fin-st-inventory-20,Core,ds_inventory_162,support_fact_6125,EDW_PRD_247,sales_fact_6126,vzw-mkt-ds-customer-21,ds_marketing_090,sales_fact_6126,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acct_sum_fact_v,Yes,,,,,11/18/2025,Pointing to modernized table udm_prd_tbls.acct_sum_fact,Yes,,,,gk1v_cwlspr_cwls_tpt_guda_acct_sum_fact,,vzw-it-pr-billing-00,udm_prd_tbls.acct_sum_fact,"dg_gk1v_edwpr_wls_east_ld_all_jobs_5pm
dg_gk1v_edwpr_wls_east_mnthly_lsf_asf
dg_gk1v_edwpr_wls_vision_east_ld_12am",
vzw-fin-st-inventory-20,,ds_inventory_162,marketing_fact_6154,EDW_PRD_247,sales_fact_6159,vzw-mkt-ds-customer-21,ds_marketing_090,sales_fact_6159,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_call_v,Yes,,,,,11/18/2025,Pointing to modernized table udm_prd_tbls.acss_call,Yes,,,,gk1v_cwlspr_cwls_guda_acss_call,,vzw-it-pr-billing-00,udm_prd_tbls.acss_call,"dg_gk1v_edwdo_wls_udm_acss_ac_t050_us_dept
dg_gk1v_edwdo_wls_udm_acss_ac_t100_us_acss_region_hist","None
None"
vzw-fin-st-inventory-20,,ds_inventory_162,network_master_6155,EDW_PRD_247,billing_lookup_6158,vzw-mkt-ds-customer-21,ds_marketing_090,billing_lookup_6158,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_call_center_v,Yes,,,,,12/5/2025,Pointing to modernized table udm_prd_tbls.acss_call_center_hist,Yes,,,,gk1v_cwlspr_cwls_guda_acss_call_center_v2,,vzw-it-pr-billing-00,udm_prd_tbls.acss_call_center_hist,dg_gk1v_edwdo_wls_udm_acss_ac_t050_us_dept,
vzw-fin-st-inventory-20,,ds_inventory_162,support_detail_6156,EDW_PRD_247,support_fact_6157,vzw-mkt-ds-customer-21,ds_marketing_090,support_fact_6157,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_call_center_hist_v,Yes,,,,,11/18/2025,Pointing to modernized table udm_prd_tbls.acss_call_center,Yes,,,,gk1v_cwlspr_guda_acss_call_center_hist,,vzw-it-pr-billing-00,udm_prd_tbls.acss_call_center,dg_gk1v_edwdo_wls_udm_acss_ac_t100_us_acss_region_hist,
vzw-fin-st-inventory-20,,ds_inventory_162,billing_detail_6160,EDW_PRD_247,customer_xref_6161,vzw-mkt-ds-customer-21,ds_marketing_090,customer_xref_6161,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_dept_v,Yes,,,,,12/5/2025,Pointing to modernized table udm_prd_tbls.acss_dept,Yes,,,,gk1v_cwlspr_cwls_guda_acss_dept,,vzw-it-pr-billing-00,udm_prd_tbls.acss_dept,dg_gk1v_edwdo_wls_udm_acss_ac_t100_us_acss_region_hist,
vzw-mkt-ds-customer-21,,ds_billing_164,inventory_lookup_6162,EDW_PRD_247,finance_xref_6165,vzw-mkt-ds-customer-21,ds_marketing_090,finance_xref_6165,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_followup_v,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,billing_dim_6163,EDW_PRD_247,inventory_fact_6164,vzw-mkt-ds-customer-21,ds_marketing_090,inventory_fact_6164,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_followup_type_v,Yes,,,,,,,,,,,,,,,,
vzw-fin-st-inventory-20,,ds_inventory_162,network_master_6166,EDW_PRD_247,marketing_dim_6167,vzw-mkt-ds-customer-21,ds_marketing_090,marketing_dim_6167,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_order_header_v,Yes,,,,,11/18/2025,Pointing to modernized table udm_prd_tbls.acss_order_header,Yes,,,,gk1v_cwlspr_cwls_tpt_acss_order_header,,vzw-it-pr-billing-00,udm_prd_tbls.acss_order_header,"dg_gk1v_edwdo_wls_udm_acss_ac_t050_us_dept
dg_gk1v_edwdo_wls_udm_acss_ac_t100_us_acss_region_hist","None
None"
vzw-fin-st-inventory-20,,ds_inventory_162,sales_xref_6168,EDW_PRD_247,finance_master_6169,vzw-mkt-ds-customer-21,ds_marketing_090,finance_master_6169,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_order_sku_details_v,Yes,,,,,,,,,,,,,,,,
vzw-fin-st-inventory-20,,ds_inventory_162,sales_dim_6170,EDW_PRD_247,marketing_master_6171,vzw-mkt-ds-customer-21,ds_marketing_090,marketing_master_6171,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_region_v,Yes,,,,,12/5/2025,Pointing to modernized table udm_prd_tbls.acss_region,Yes,,,,,,vzw-it-pr-billing-00,udm_prd_tbls.acss_region,dg_gk1v_edwdo_wls_udm_acss_ac_t100_us_acss_region_hist,
vzw-fin-st-inventory-20,,ds_inventory_162,billing_master_6174,EDW_PRD_247,customer_dim_6175,vzw-mkt-ds-customer-21,ds_marketing_090,customer_dim_6175,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_screen_usage_v,Yes,,,,,12/10/2025,Pointing to modernized table udm_prd_tbls.acss_screen_usage,Yes,,,,,,vzw-it-pr-billing-00,udm_prd_tbls.acss_screen_usage,"dg_gk1v_edwdo_wls_udm_acss_ac_t050_us_dept
dg_gk1v_edwdo_wls_udm_acss_ac_t100_us_acss_region_hist","None
None"
vzw-fin-st-inventory-20,,ds_inventory_162,billing_detail_6176,EDW_PRD_247,support_lookup_6179,vzw-mkt-ds-customer-21,ds_marketing_090,support_lookup_6179,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_user_v,Yes,,,,,12/5/2025,Pointing to modernized table udm_prd_tbls.acss_user,Yes,,,,,,vzw-it-pr-billing-00,udm_prd_tbls.acss_user,"dg_gk1v_edwdo_wls_udm_hr_ci_t100_us_acss_user
dg_gk1v_edwdo_wls_udm_acss_ac_t100_us_acss_region_hist","At 00:30, every day
None"
vzw-fin-st-inventory-20,,ds_inventory_162,network_fact_6177,EDW_PRD_247,inventory_detail_6178,vzw-mkt-ds-customer-21,ds_marketing_090,inventory_detail_6178,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acss_user_dly_hist_v,Yes,,,,,11/18/2025,Pointing to modernized table udm_prd_tbls.acss_user_dly_hist,Yes,,,,,,vzw-it-pr-billing-00,udm_prd_tbls.acss_user_dly_hist,dg_gk1v_edwdo_wls_udm_acss_ac_t110_ld_acss_user,"At 00:31, every day"
vzw-mkt-ds-customer-21,Core,ds_billing_164,customer_summary_6180,EDW_PRD_247,network_master_6181,vzw-mkt-ds-customer-21,ds_marketing_090,network_master_6181,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.activity_v,Yes,,,,,,,,,,,,,,,,
vzw-fin-st-inventory-20,,ds_inventory_162,finance_lookup_6184,EDW_PRD_252,inventory_summary_6185,vzw-mkt-ds-customer-21,ds_marketing_095,inventory_summary_6185,vz-it-pr-gk1v-edwdo-0.ntl_prd_secvm.acxiom_demographic_v,Yes,,,,,,,,,,,,,,,,
vzw-ops-pl-customer-18,,ds_network_156,network_detail_6186,FIN_CORE_254,network_detail_6186,vzw-ops-pl-customer-18,ds_billing_097,network_detail_6186,vz-it-pr-gk1v-bizdo-0.ntl_prdusr_tbls.acxiom_vzt_addr_match,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.acxiom_vzt_addr_match,dg_gk1v_edwpr_tpt_mrkt_acxiom_vzt_addr_match,"""15 12 * * *""",,,,
vzw-ops-pl-customer-18,,ds_network_156,customer_xref_6187,STG_LNDG_251,customer_xref_6187,vzw-ops-pl-customer-18,ds_billing_094,customer_xref_6187,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmvm.adaal34_loyalty_exec__campaign_performance,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.adaal34_loyalty_exec__campaign_performance,dg_gk1v_edwdo_mrkt_adaal34_loyalty_exec__campaign_performance,"""20 14 * * *""",,,,
vzw-ops-pl-customer-18,,ds_network_156,support_master_6188,STG_LNDG_251,support_master_6188,vzw-ops-pl-customer-18,ds_billing_094,support_master_6188,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmvm.adaal34_stg_qmtbls__fwa_pricing,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.adaal34_stg_qmtbls__fwa_pricing,dg_gk1v_edwdo_mrkt_adaal34_stg_qmtbls__fwa_pricing,07 12 * * *,,,,
vzw-ops-pl-customer-18,,ds_network_156,support_detail_6189,STG_LNDG_251,support_detail_6189,vzw-ops-pl-customer-18,ds_billing_094,support_detail_6189,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmvm.adaal34_stg_qmtbls__mobile_onboarding,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.adaal34_stg_qmtbls__mobile_onboarding,dg_gk1v_edwdo_mrkt_adaal34_stg_qmtbls__mobile_onboarding,12 12 * * *,,,,
vzw-ops-pl-customer-18,,ds_network_156,customer_lookup_6190,STG_LNDG_251,customer_lookup_6190,vzw-ops-pl-customer-18,ds_billing_094,customer_lookup_6190,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmvm.adaal34_stg_qmtbls__mobile_pillar,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.adaal34_stg_qmtbls__mobile_pillar,dg_gk1v_edwdo_mrkt_ada_mbl_plr,"""47 13 * * *""",,,,
vzw-ops-pl-customer-18,,ds_network_156,customer_dim_6191,STG_LNDG_251,customer_dim_6191,vzw-ops-pl-customer-18,ds_billing_094,customer_dim_6191,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmvm.adaal34_stg_qmtbls__mobile_pricing,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.adaal34_stg_qmtbls__mobile_pricing,dg_gk1v_edwdo_mrkt_adaal34_stg_qmtbls__mobile_pricing,17 12 * * *,,,,
vzw-ops-pl-customer-18,,ds_network_156,sales_fact_6192,STG_LNDG_251,sales_fact_6192,vzw-ops-pl-customer-18,ds_billing_094,sales_fact_6192,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmvm.adaal34_stg_qmtbls__vz_up,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.adaal34_stg_qmtbls__vz_up,dg_gk1v_edwdo_mrkt_adaal34_stg_qmtbls__vz_up,22 12 * * *,,,,
vzw-fin-st-inventory-20,,ds_billing_146,marketing_detail_6196,MKT_UDA_177,marketing_detail_6196,vzw-mkt-ds-customer-21,ds_finance_014,marketing_detail_6196,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.addr_hygiene,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,sales_detail_6197,MKT_UDA_177,sales_detail_6197,vzw-mkt-ds-customer-21,ds_finance_014,sales_detail_6197,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.addr_nsi,Yes,,,,,,,,,,,,,,,,
vzw-ops-pl-customer-18,,ds_network_156,customer_lookup_6201,OPS_DATA_194,customer_lookup_6201,vzw-ops-pl-customer-18,ds_customer_030,customer_lookup_6201,vz-it-pr-gk1v-bizdo-0.crm_ios_tbls.adobe_hashed_translation,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.adobe_hashed_translation,dg_gk1v_edwpr_tpt_mrkt_adobe_hashed_translation,"""59 14 * * *""",,,,
vzw-mkt-ds-customer-21,Growth,ds_billing_164,marketing_detail_6202,FIN_CORE_273,marketing_detail_6202,vzw-mkt-ds-customer-21,ds_billing_119,marketing_detail_6202,vz-it-pr-gk1v-edwdo-0.tntl_prdref_allvm.adobe_profile,Yes,,,,,2/4/2026,"No flipping required, new _v2 is created as mentioned as Laxmikant (LP) Patil/Dipenkumar (Dipen) Patel and pointed to HUKV workspace
-->vz-it-pr-hukv-cdwldo-0.vzw_cdp_prd_sectbls.vzw_customer_prfl WH",Yes,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,sales_xref_6203,MKT_UDA_169,sales_xref_6203,vzw-mkt-ds-customer-21,ds_billing_006,sales_xref_6203,vz-it-pr-gk1v-edwdo-0.ads_prd_itvm.ads_message_codes_fact,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,customer_lookup_6205,MKT_UDA_177,customer_lookup_6205,vzw-mkt-ds-customer-21,ds_finance_014,customer_lookup_6205,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.adv_vzt_sales_order,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,finance_summary_6206,MKT_UDA_177,finance_summary_6206,vzw-mkt-ds-customer-21,ds_finance_014,finance_summary_6206,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.aedw_actvontrptn_hist,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,billing_fact_6207,STG_LNDG_293,billing_fact_6207,vzw-mkt-ds-customer-21,ds_marketing_144,billing_fact_6207,vz-it-pr-gk1v-edwdo-0.vzinsight_tblsv.agent_office_locations,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,Growth,ds_billing_164,inventory_detail_6210,EDW_PRD_247,billing_dim_6211,vzw-mkt-ds-customer-21,ds_marketing_090,billing_dim_6211,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.aia_dynamic_offers_v,Yes,,,,,,,,,,,,,,,,
vzw-fin-st-billing-17,Growth,ds_marketing_077,marketing_lookup_6212,EDW_PRD_247,inventory_detail_6213,vzw-mkt-ds-customer-21,ds_marketing_090,inventory_detail_6213,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.aia_plan_perk_recomdtn_v,Yes,,,,,,"Not required to flip, already views are pointing to GCP native built tables",Yes,,,,,,vzw-ops-pl-sales-09,vz-it-pr-fjpv-mlopdo-0.mlops_scores_tbls.aia_plan_perk_recomdtn,,
vzw-fin-st-inventory-20,Growth,ds_inventory_162,billing_dim_6214,STG_LNDG_162,finance_fact_6215,vzw-mkt-ds-customer-21,ds_support_000,finance_fact_6215,vz-it-pr-gk1v-edwdo-0.aar_prd_allvm.aim_fact_v,Yes,,,,,12/8/2025,Pointing to modernized table ads_prd_tbls.ads_message_codes_fact and aar_prd_tbls.aar_kpi_fact,Yes,,,,,,vzw-it-pr-billing-00,"ads_prd_tbls.ads_message_codes_fact
aar_prd_tbls.aar_kpi_fact","dg_gk1v_edwdo_wls_udm_aim_ads_mcscf_ld
dg_gk1v_edwdo_wls_udm_aim_am_001f_ld_01

dg_gk1v_edwdo_wls_udm_aim_am_001f_ld_02_ctl_aar_aim_fact","At 06:00, days 2, 3, 4, and 5
Invalid cron expression (expected 5 fields)

At 00:02, every day"
vzw-mkt-ds-customer-21,,ds_billing_164,billing_summary_6216,OPS_DATA_198,billing_summary_6216,vzw-mkt-ds-customer-21,ds_customer_034,billing_summary_6216,vz-it-pr-gk1v-edwdo-0.dns_tblsv.aim_opt_out,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,customer_xref_6217,STG_LNDG_193,customer_lookup_6218,vzw-mkt-ds-customer-21,ds_billing_029,customer_lookup_6218,vz-it-pr-gk1v-edwdo-0.crm_analytics_tblsv.aio_cubeview_v,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,marketing_master_6223,MKT_UDA_177,marketing_master_6223,vzw-mkt-ds-customer-21,ds_finance_014,marketing_master_6223,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.altice_peak_leadlist_v2,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,inventory_xref_6224,MKT_UDA_177,inventory_xref_6224,vzw-mkt-ds-customer-21,ds_finance_014,inventory_xref_6224,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.altice_peak_mktg_list,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,finance_summary_6225,MKT_UDA_177,finance_summary_6225,vzw-mkt-ds-customer-21,ds_finance_014,finance_summary_6225,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.altice_v31_mktg_list,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,marketing_fact_6226,MKT_UDA_177,marketing_fact_6226,vzw-mkt-ds-customer-21,ds_finance_014,marketing_fact_6226,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.altice_v32_mktg_list,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,billing_fact_6227,MKT_UDA_177,billing_fact_6227,vzw-mkt-ds-customer-21,ds_finance_014,billing_fact_6227,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.altice_wb_soc_lld_offer,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,marketing_lookup_6228,MKT_UDA_177,marketing_lookup_6228,vzw-mkt-ds-customer-21,ds_finance_014,marketing_lookup_6228,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.anon_demographics,Yes,,,,,,,,,,,,,,,,
vzw-fin-st-inventory-20,Core,ds_inventory_162,support_master_6229,EDW_PRD_247,billing_lookup_6230,vzw-mkt-ds-customer-21,ds_marketing_090,billing_lookup_6230,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.appleid_linked_v,Yes,,,,,11/18/2025,Pointing to modernized table udm_prd_tbls.appleid_linked,Yes,,,,,,vzw-it-pr-billing-00,udm_prd_tbls.appleid_linked,dg_gk1v_edwpr_wls_boku_appleid_linked,"At 15:00, every day"
vzw-mkt-ds-customer-21,,ds_billing_164,finance_fact_6231,EDW_PRD_247,support_detail_6232,vzw-mkt-ds-customer-21,ds_marketing_090,support_detail_6232,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.area_v,Yes,,,,,11/18/2025,Pointing to modernized table udm_prd_tbls.area,Yes,,,,dg_gk1v_edwdo_mrkt_area,,vzw-it-pr-billing-00,udm_prd_tbls.area,"dg_gk1v_edwpr_wls_vision_dailyload_nvsn_12am
dg_gk1v_edwpr_wls_vision_dailyload_nvsn_5pm
dg_gk1v_edwpr_wls_vision_dailyload_nvsn_7am
dg_gk1v_edwpr_wls_vision_dailyload_bvsn_12am
dg_gk1v_edwpr_wls_vision_dailyload_bvsn_5pm
dg_gk1v_edwpr_wls_vision_dailyload_bvsn_7am
dg_gk1v_edwpr_wls_vision_dailyload_wvsn_12am
dg_gk1v_edwpr_wls_vision_dailyload_wvsn_5pm
dg_gk1v_edwpr_wls_vision_dailyload_vsn_12am
dg_gk1v_edwpr_wls_vision_dailyload_vsn_5pm
dg_gk1v_edwpr_wls_vision_dailyload_vsn_7am","At 00:00, every day
At 17:00, every day
At 07:00, every day
At 00:00, every day
At 17:00, every day
At 07:00, every day
At 00:00, every day
At 17:00, every day
At 00:00, every day
At 17:00, every day"
vzw-ops-pl-customer-18,,ds_network_156,network_xref_6234,EDW_PRD_249,network_xref_6234,vzw-ops-pl-customer-18,ds_billing_092,network_xref_6234,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmtbls.arr_intenders_dec_expiry_2810,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.arr_intenders_dec_expiry_2810,dg_gk1v_edwdo_mrkt_arr_intenders_dec_expiry_2810,"""27 12 * * *""",,,,
vzw-ops-pl-customer-18,,ds_network_156,support_lookup_6235,EDW_PRD_249,support_lookup_6235,vzw-ops-pl-customer-18,ds_billing_092,support_lookup_6235,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmtbls.arr_intenders_dec_expiry_2873,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.arr_intenders_dec_expiry_2873,dg_gk1v_edwdo_mrkt_arr_intenders_dec_expiry_2873,"""47 12 * * *""",,,,
vzw-ops-pl-customer-18,,ds_network_156,network_fact_6236,EDW_PRD_249,network_fact_6236,vzw-ops-pl-customer-18,ds_billing_092,network_fact_6236,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmtbls.arr_intenders_dec_expiry_base,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.arr_intenders_dec_expiry_base,dg_gk1v_edwdo_mrkt_arr_intenders_dec_expiry_base,"""33 13 * * *""",,,,
vzw-ops-pl-customer-18,,ds_network_156,finance_fact_6237,EDW_PRD_249,finance_fact_6237,vzw-ops-pl-customer-18,ds_billing_092,finance_fact_6237,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmtbls.arr_invol_wal_actvs_base_tableau,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.arr_invol_wal_actvs_base_tableau,dg_gk1v_edwdo_mrkt_ar_in_w_a_ba_ta,"""15 14 * * *""",,,,
vzw-mkt-ds-customer-21,,ds_billing_164,support_fact_6240,STG_LNDG_217,support_fact_6240,vzw-mkt-ds-customer-21,ds_marketing_053,support_fact_6240,vz-it-pr-gk1v-edwdo-0.edw_stg_tfs_vw.artemis_contact_universe,Yes,,,,,,,,,,,,,,,,
vzw-ops-pl-customer-18,,ds_network_156,billing_dim_6249,EDW_PRD_249,billing_dim_6249,vzw-ops-pl-customer-18,ds_billing_092,billing_dim_6249,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmtbls.at_dly_upg_fcst_dev_fin,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.at_dly_upg_fcst_dev_fin,dg_gk1v_edwdo_mrkt_at_dly_upg_fcst_dev_fin,"""43 14 * * *""",,,,
vzw-fin-st-inventory-20,,ds_inventory_162,sales_fact_6251,EDW_PRD_247,inventory_summary_6252,vzw-mkt-ds-customer-21,ds_marketing_090,inventory_summary_6252,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.atg_accessory_alldetails_v,Yes,,,,,11/24/2025,Pointing to modernized table udm_prd_tbls.atg_accessory_alldetails,Yes,,,,,,vzw-it-pr-billing-00,udm_prd_tbls.atg_accessory_alldetails,dg_gk1v_edwdo_wls_udm_misc_atg_accessory_to_alldetails,"At 03:00, every day"
